day,team1,team2
0,18,20
0,15,28
0,4,6
0,9,25
0,21,24
0,8,26
1,16,7
1,23,25
1,8,29
1,11,27
1,1,6
2,15,5
2,1,25
2,19,27
2,12,29
2,21,14
2,2,13
3,2,10
3,0,6
3,11,28
3,23,20
3,3,13
3,16,26
3,19,5
3,1,17
4,3,29
4,19,22
4,4,7
4,11,17
4,8,20
4,23,13
4,9,24
4,12,14
5,18,24
5,9,10
5,15,29
5,2,14
5,23,22
5,0,5
5,4,26
6,21,17
6,18,27
6,3,14
6,16,28
6,11,10
6,0,7
6,12,22
7,25,19
7,23,0
7,4,27
7,29,8
7,15,20
7,28,22
7,3,11
8,12,11
8,10,24
8,9,27
8,4,21
8,17,6
9,23,5
9,2,26
9,16,8
9,12,14
9,28,18
9,10,7
9,3,6
10,29,24
10,1,18
10,10,26
10,16,21
10,25,5
11,17,22
11,9,7
11,1,14
11,15,24
11,13,21
11,4,0
11,29,18
11,2,5
12,16,22
12,2,0
12,13,7
12,17,20
12,4,5
12,28,19
13,12,8
13,23,27
13,10,6
13,2,19
13,15,14
13,13,11
13,9,26
13,25,18
13,3,7
13,1,20
14,26,16
14,7,10
14,18,27
14,2,20
14,1,0
14,28,8
14,19,15
14,6,13
14,22,29
15,28,27
15,4,13
15,5,20
15,25,24
15,18,21
15,3,10
15,26,17
15,7,14
15,1,12
16,25,23
16,26,9
16,6,0
16,1,16
16,11,29
17,5,23
17,18,8
17,2,27
17,3,15
18,4,17
18,19,29
18,11,0
18,22,24
18,3,13
18,18,23
18,26,14
18,5,15
19,2,21
19,11,8
19,4,14
19,22,12
19,25,9
19,28,16
20,19,17
20,22,21
20,6,10
20,28,9
20,11,12
20,7,20
20,2,24
21,10,3
21,20,15
21,29,4
21,16,12
21,23,27
21,6,14
21,24,2
21,22,17
22,7,1
22,6,26
22,16,27
22,9,2
22,10,4
22,20,11
22,8,13
23,21,27
23,19,4
23,6,12
23,24,18
23,25,0
23,23,15
23,8,11
23,29,14
23,10,2
23,22,28
24,25,13
24,8,3
24,21,1
24,20,26
24,7,12
25,25,28
25,22,14
25,21,18
25,5,11
25,7,17
25,9,3
26,19,18
26,29,28
26,23,26
26,9,1
26,16,0
26,5,17
27,19,13
27,16,17
27,5,0
27,24,15
28,24,10
28,14,5
28,13,2
28,29,11
28,25,20
28,8,4
28,22,26
29,13,1
29,23,17
29,25,16
29,8,0
29,9,15
29,14,27
29,7,3
29,18,11
29,29,20
30,21,27
30,22,20
30,12,10
30,23,16
30,18,19
30,9,0
30,6,1
31,14,15
31,21,26
31,9,2
31,22,19
31,28,0
31,13,3
31,23,11
31,7,4
32,14,1
32,25,17
32,6,4
32,18,16
32,24,20
33,6,27
33,29,10
33,12,5
33,28,15
33,24,17
33,7,2
34,8,5
34,12,26
34,28,3
34,21,19
34,22,27
35,15,19
35,14,17
35,13,0
35,24,16
35,26,25
35,9,5
35,12,2
35,11,6
35,23,29
36,12,1
36,3,0
36,13,19
36,15,29
36,26,2
36,11,7
36,28,20
36,8,22
37,8,6
37,27,7
37,15,25
37,9,16
37,12,5
37,14,18
38,27,6
38,23,21
38,14,5
38,26,22
38,10,16
39,23,22
39,9,17
39,28,21
39,24,19
39,8,4
39,3,20
39,10,0
40,13,17
40,26,1
40,3,2
40,24,29
40,11,18
40,9,4
40,15,7
41,10,20
41,28,25
41,8,1
41,27,21
41,12,4
41,24,18
42,6,25
42,9,0
42,12,20
42,22,5
42,16,15
42,18,7
42,19,17
42,4,2
42,14,23
43,10,5
43,12,17
43,14,0
43,9,23
43,8,7
43,4,11
43,19,20
43,18,25
43,29,1
44,13,11
44,26,23
44,27,24
44,8,2
44,22,0
45,10,1
45,16,3
45,18,24
45,29,2
46,12,25
46,29,15
46,26,24
46,14,20
46,13,5
46,28,21
47,27,11
47,4,1
47,6,7
47,16,21
47,28,23
47,26,15
47,19,3
47,22,24
48,10,15
48,27,0
48,6,17
48,8,21
48,9,3
48,13,25
48,28,2
49,27,13
49,5,6
49,11,2
49,14,9
49,24,12
49,26,21
49,8,15
49,25,28
50,25,21
50,8,17
50,19,16
50,0,3
50,20,4
50,18,1
50,22,29
51,0,2
51,24,1
51,11,4
51,27,28
51,10,21
51,22,17
51,8,9
51,7,6
52,10,9
52,24,15
52,11,12
52,0,6
52,5,3
52,19,28
52,20,16
53,22,23
53,26,4
53,7,21
53,14,12
53,19,29
54,25,15
54,0,23
54,18,16
54,5,13
54,10,3
55,7,3
55,27,29
55,14,13
55,8,2
55,26,28
55,20,1
55,18,17
55,19,23
56,26,24
56,18,3
56,23,6
56,17,10
56,22,4
56,11,9
57,5,9
57,14,16
57,21,20
57,25,27
57,23,28
57,0,19
57,13,4
58,14,3
58,17,28
58,26,6
58,1,29
58,5,7
58,0,15
59,12,16
59,18,29
59,0,10
59,11,8
59,23,20
59,17,19
60,12,27
60,13,16
60,21,28
60,22,19
60,2,29
60,14,8
61,11,15
61,25,8
61,23,24
61,1,7
61,2,6
61,26,10
61,5,4
62,1,15
62,21,9
62,22,27
62,12,24
62,25,7
62,18,20
62,2,3
62,13,8
63,24,21
63,7,18
63,29,17
63,27,5
63,26,16
63,3,12
63,2,25
63,19,15
64,13,4
64,14,12
64,29,28
64,27,16
64,26,20
65,7,11
65,10,23
65,14,8
65,29,25
66,10,11
66,22,15
66,19,28
66,6,20
66,13,12
66,0,4
66,14,25
66,7,9
67,3,16
67,27,15
67,0,9
67,2,28
67,1,4
68,24,23
68,0,18
68,22,20
68,7,5
68,2,4
68,10,17
68,1,8
68,6,21
69,6,8
69,24,11
69,27,17
69,13,5
69,26,18
69,22,9
69,1,23
69,3,25
69,19,21
70,25,26
70,18,5
70,27,21
70,12,28
70,22,6
70,0,2
71,9,5
71,19,8
71,22,2
72,9,29
72,1,28
72,27,8
72,4,3
72,22,23
72,16,24
72,17,26
72,19,11
72,20,6
73,14,11
73,10,29
73,4,28
73,18,6
73,12,15
73,0,3
73,1,13
74,17,3
74,0,11
74,20,2
74,10,5
74,14,26
74,9,7
75,25,21
75,18,15
75,1,24
75,9,8
75,10,7
75,20,13
75,12,23
75,16,29
75,19,26
76,1,3
76,4,13
76,17,23
76,12,7
76,16,15
76,27,28
76,14,21
76,25,24
77,24,20
77,25,1
77,27,12
77,2,14
77,29,21
77,16,17
78,18,12
78,2,1
78,15,10
78,6,28
78,19,7
78,0,13
78,26,3
78,27,20
78,24,21
79,5,1
79,16,20
79,0,17
79,26,13
79,6,3
79,18,22
80,11,7
80,27,14
80,26,8
80,23,9
81,16,4
81,25,22
81,23,3
81,5,8
81,19,10
81,11,13
82,25,17
82,11,20
82,15,4
82,29,22
82,0,8
82,24,28
82,19,21
82,5,9
83,15,28
83,18,4
83,2,7
83,6,14
83,23,10
83,29,9
83,0,12
84,27,4
84,9,22
84,21,25
84,1,13
84,29,20
84,8,24
84,14,11
85,15,13
85,29,23
85,7,24
85,21,12
85,10,25
85,6,18
86,17,18
86,19,16
86,3,11
86,6,2
86,0,13
86,9,4
87,19,26
87,27,20
87,6,23
87,17,22
87,1,2
87,10,28
87,8,11
87,0,4
88,0,28
88,19,2
88,10,13
88,29,12
88,7,23
88,21,16
88,1,5
88,17,25
89,14,24
89,27,22
89,3,5
89,15,16
89,7,26
90,3,26
90,14,2
90,19,18
90,9,12
90,8,28
90,6,5
90,15,20
91,14,4
91,8,3
91,0,20
91,17,18
91,5,11
92,15,24
92,12,11
92,5,7
92,28,6
92,0,22
93,1,2
93,23,4
93,21,18
93,5,25
93,27,29
93,14,19
94,16,19
94,28,29
94,15,22
94,23,26
94,12,2
94,1,7
94,0,11
94,13,10
94,9,20
95,1,10
95,21,26
95,15,18
95,9,6
95,17,29
95,16,25
95,27,3
96,23,2
96,14,7
96,28,4
96,12,19
96,9,10
96,21,20
96,8,6
96,13,24
97,17,24
97,13,26
97,27,25
97,8,19
97,5,3
97,16,22
98,13,0
98,14,9
98,2,11
98,20,29
98,15,17
98,10,12
98,7,6
98,1,21
99,23,12
99,5,6
99,3,9
99,26,29
99,1,11
99,2,0
99,28,25
99,20,21
100,14,6
100,26,25
100,23,19
100,10,27
100,3,17
100,24,8
101,7,27
101,15,21
101,20,18
101,5,19
101,13,9
101,14,4
102,28,22
102,2,17
102,24,19
102,16,18
102,3,4
102,10,0
103,20,25
103,3,18
103,24,27
103,28,11
103,16,29
103,13,22
103,23,8
104,16,6
104,15,11
104,7,8
104,26,12
104,1,4
104,5,22
105,15,0
105,13,6
105,16,27
105,5,28
106,4,9
106,13,23
106,21,6
106,15,2
106,8,12
106,22,26
106,24,28
107,29,26
107,18,28
107,3,23
107,19,27
107,5,10
107,20,17
107,4,1
107,11,14
107,8,9
108,15,6
108,18,10
108,22,7
108,5,2
108,4,12
108,11,0
108,8,27
108,20,14
109,20,25
109,19,0
109,21,17
109,3,12
109,16,2
109,11,9
109,29,7
110,19,1
110,3,7
110,13,14
110,24,25
110,18,9
111,16,25
111,24,26
111,29,27
111,22,1
111,13,10
111,18,17
111,21,23
112,20,7
112,4,11
112,28,18
112,24,0
112,26,19
112,14,10
113,25,23
113,20,9
113,1,0
113,8,5
113,14,2
113,15,3
113,4,10
113,16,11
114,28,19
114,24,5
114,27,18
114,21,0
114,25,22
114,8,7
114,1,9
115,20,5
115,24,7
115,29,3
115,27,19
115,12,18
115,6,9
115,26,17
115,25,11
116,12,0
116,29,19
116,27,23
116,6,2
116,25,3
116,4,22
116,28,17
116,16,13
117,15,23
117,1,10
117,21,11
117,16,9
117,29,13
118,8,23
118,14,22
118,15,17
118,21,2
118,6,5
118,12,13
118,26,18
119,18,22
119,21,5
119,7,11
119,17,15
119,13,6
119,1,3
119,10,2
120,18,23
120,9,6
120,27,24
120,13,8
120,21,15
120,25,12
120,29,0
120,4,20
120,28,26
121,17,23
121,28,24
121,16,20
121,1,11
121,29,22
122,27,26
122,29,6
122,16,14
122,17,0
123,16,23
123,13,3
123,4,0
123,1,26
123,9,19
123,7,8
123,10,14
123,21,22
124,4,12
124,27,19
124,28,5
124,25,2
124,13,20
125,7,2
125,21,3
125,10,8
125,18,14
125,4,24
125,28,12
125,29,19
125,1,6
125,16,5
125,9,11
125,25,15
126,9,21
126,13,28
126,15,16
126,20,0
126,5,29
126,10,22
126,8,18
127,17,16
127,1,12
127,2,6
127,13,27
127,10,19
127,5,18
127,20,28
127,11,21
128,9,28
128,4,3
128,24,29
128,8,0
128,26,22
