day,team1,team2
0,27,12
0,3,15
0,6,21
0,13,28
0,6,19
0,5,19
0,10,23
0,8,26
0,5,21
1,3,17
1,4,21
1,0,18
1,5,22
1,6,22
1,13,29
1,12,28
1,12,29
1,7,21
2,10,26
2,1,15
2,8,23
2,10,24
2,1,17
2,29,14
2,9,24
2,0,15
2,8,24
3,10,25
3,0,17
3,11,23
3,7,20
3,1,16
3,3,16
3,2,18
3,0,16
3,9,23
4,9,25
4,1,18
4,2,16
4,3,18
4,4,20
4,11,25
4,4,19
4,11,26
5,14,29
5,2,15
5,7,19
5,6,20
5,4,22
5,8,25
5,14,27
5,12,27
6,13,27
6,2,17
6,11,24
6,7,22
6,28,13
6,9,26
6,14,28
6,5,20
7,3,20
7,2,20
7,1,20
7,4,15
7,8,27
7,9,28
7,4,18
7,13,25
7,5,16
8,2,19
8,2,21
8,14,23
8,12,23
8,9,29
8,13,24
8,5,18
8,7,18
8,4,17
9,6,15
9,14,24
9,5,15
9,6,16
9,0,21
9,0,22
9,12,24
9,1,22
9,3,21
10,4,16
10,7,16
10,5,17
10,13,26
10,14,26
10,26,11
10,1,19
10,3,19
10,3,22
11,1,21
11,12,25
11,23,8
11,0,19
11,13,23
11,10,29
11,7,17
11,9,27
12,2,22
12,6,17
12,7,15
12,6,18
12,14,25
12,10,28
12,24,9
12,11,28
13,11,27
13,12,26
13,8,29
13,25,10
13,0,20
13,8,28
13,11,29
13,10,27
14,7,28
14,10,18
14,2,23
14,3,25
14,1,24
14,12,20
14,14,20
14,2,24
14,8,15
15,1,23
15,20,5
15,14,19
15,10,17
15,10,15
15,0,24
15,3,26
15,1,25
15,1,26
16,4,29
16,11,15
16,13,22
16,9,16
16,5,27
16,9,17
16,4,27
16,13,20
16,12,21
17,8,16
17,11,17
17,8,17
17,5,28
17,2,26
17,21,6
17,5,29
17,7,27
17,0,23
18,6,29
18,14,21
18,10,16
18,6,27
18,0,26
18,13,21
18,0,25
18,8,18
19,7,29
19,19,4
19,22,7
19,3,24
19,3,23
19,11,18
19,12,22
19,4,28
20,9,15
20,14,22
20,11,16
20,12,19
20,13,19
20,2,25
20,9,18
20,6,28
21,12,18
21,7,26
21,13,17
21,13,16
21,9,19
21,14,16
21,12,16
21,18,3
21,0,27
22,10,19
22,5,25
22,2,29
22,9,22
22,15,0
22,0,29
22,4,24
22,7,25
22,4,23
23,3,29
23,14,18
23,13,18
23,7,23
23,12,17
23,6,23
23,6,25
23,9,21
23,0,28
24,3,27
24,2,27
24,1,28
24,8,19
24,4,25
24,5,23
24,8,21
24,1,29
24,2,28
25,17,2
25,10,22
25,13,15
25,11,20
25,4,26
25,14,17
25,12,15
25,3,28
26,10,20
26,11,21
26,8,22
26,7,24
26,14,15
26,11,19
26,6,26
26,6,24
27,11,22
27,1,27
27,5,26
27,8,20
27,9,20
27,16,1
27,5,24
27,10,21
28,28,11
28,29,12
28,23,5
28,25,12
28,23,6
28,28,12
28,26,14
28,26,13
28,24,5
29,17,3
29,25,13
29,22,6
29,18,4
29,26,10
29,27,10
29,22,9
29,21,8
29,26,12
30,15,1
30,24,7
30,27,14
30,19,2
30,24,8
30,19,3
30,16,3
30,29,11
30,15,4
31,16,0
31,28,14
31,15,3
31,21,7
31,23,9
31,22,5
31,23,7
31,28,10
31,22,8
32,29,10
32,25,14
32,19,1
32,21,9
32,29,13
32,20,8
32,20,7
32,16,4
33,15,2
33,20,9
33,18,0
33,16,2
33,18,1
33,17,0
33,21,5
33,17,4
34,20,6
34,27,11
34,19,0
34,17,1
34,24,6
34,27,13
34,18,2
34,25,11
35,27,4
35,10,14
35,19,9
35,20,1
35,16,5
35,26,29
35,19,11
35,25,27
36,18,6
36,19,10
36,17,7
36,22,0
36,25,9
36,19,12
36,24,12
36,24,4
37,22,2
37,16,7
37,24,10
37,17,8
37,25,28
37,20,0
37,18,8
37,16,8
38,28,29
38,14,13
38,27,26
38,18,7
38,21,1
38,26,4
38,22,1
38,22,3
39,18,5
39,15,7
39,21,2
39,21,0
39,17,6
39,11,12
39,13,14
39,23,2
40,20,2
40,15,8
40,21,3
40,27,9
40,17,5
40,25,4
40,24,11
40,23,0
41,15,6
41,15,5
41,23,1
41,26,9
41,16,6
41,23,3
41,20,3
41,12,11
42,18,11
42,21,14
42,24,3
42,20,13
42,27,1
42,18,9
42,26,3
42,21,13
42,16,9
43,26,2
43,22,20
43,8,5
43,22,4
43,28,8
43,24,0
43,27,2
43,29,6
43,17,10
44,28,5
44,27,0
44,21,4
44,25,1
44,23,4
44,19,8
44,26,0
44,23,13
44,16,10
45,17,11
45,15,12
45,15,10
45,29,8
45,15,11
45,16,12
45,28,6
45,19,5
45,29,5
46,24,2
46,17,12
46,20,14
46,23,14
46,25,2
46,20,4
46,25,3
46,22,13
47,27,3
47,24,1
47,19,7
47,28,7
47,18,10
47,19,6
47,22,14
47,21,23
48,6,7
48,29,7
48,15,9
48,17,9
48,26,1
48,18,12
48,16,11
48,25,0
49,26,5
49,27,6
49,25,7
49,16,22
49,29,0
49,18,24
49,18,21
49,28,2
49,21,12
50,23,12
50,20,12
50,28,1
50,16,24
50,15,13
50,23,11
50,26,6
50,15,14
50,22,12
51,22,10
51,21,11
51,2,1
51,23,10
51,27,7
51,26,7
51,17,14
51,7,4
52,28,3
52,24,19
52,24,17
52,29,1
52,6,9
52,18,14
52,27,5
52,29,2
53,21,10
53,19,20
53,15,23
53,28,0
53,25,8
53,27,8
53,9,1
53,25,5
54,19,17
54,16,14
54,20,11
54,25,6
54,9,4
54,0,4
54,20,10
54,3,0
55,22,11
55,2,8
55,29,3
55,18,13
55,3,5
55,16,13
55,26,8
55,17,13
56,28,9
56,20,26
56,27,17
56,8,0
56,24,26
56,22,28
56,13,1
56,5,2
57,8,10
57,29,9
57,10,3
57,13,6
57,23,17
57,11,7
57,14,8
57,6,2
58,27,23
58,26,22
58,5,12
58,21,29
58,4,5
58,11,0
58,3,12
58,25,22
59,9,12
59,21,17
59,25,19
59,20,19
59,27,16
59,24,14
59,10,6
59,9,2
60,19,13
60,23,21
60,1,14
60,24,20
60,15,27
60,28,4
60,8,1
60,18,15
61,19,14
61,11,3
61,21,20
61,10,7
61,22,17
61,7,3
61,0,5
61,23,28
62,4,11
62,12,0
62,16,26
62,6,1
62,16,25
62,24,13
62,25,16
62,29,4
63,14,3
63,5,11
63,21,27
63,13,4
63,6,10
63,13,12
63,21,24
63,28,22
64,2,3
64,18,26
64,11,12
64,20,27
64,7,2
64,24,29
64,28,18
64,18,19
65,21,18
65,26,21
65,19,17
65,13,6
65,1,8
65,10,3
65,8,4
65,9,14
66,23,27
66,23,25
66,16,15
66,19,25
66,26,17
66,6,4
66,28,20
66,29,16
67,9,1
67,6,11
67,22,23
67,29,19
67,17,20
67,16,26
67,10,8
68,5,14
68,2,9
68,28,16
68,2,5
68,29,17
68,4,12
68,3,10
69,1,12
69,20,22
69,7,1
69,24,23
69,8,14
69,7,11
69,9,7
70,3,8
70,25,18
70,3,1
70,10,8
70,23,22
70,9,12
70,24,22
70,24,21
71,22,15
71,1,6
71,5,7
71,20,29
71,10,9
71,19,16
71,11,13
71,24,20
72,9,2
72,7,0
72,2,8
72,26,23
72,8,4
72,15,17
72,25,19
72,12,2
73,4,0
73,18,27
73,26,19
73,29,20
73,14,5
73,6,5
73,21,17
73,22,21
74,23,19
74,26,21
74,28,26
74,3,7
74,27,20
74,10,5
74,2,7
74,17,29
75,13,3
75,6,13
75,15,28
75,28,15
75,12,4
75,9,0
