day,team1,team2
0,0,15
0,1,16
0,2,17
0,3,18
0,4,19
0,5,20
0,6,21
0,7,22
0,8,23
0,9,24
0,10,25
0,11,26
0,12,27
0,13,28
0,14,29
1,0,16
1,1,15
1,2,18
1,3,17
1,4,20
1,5,19
1,6,22
1,7,21
1,8,24
1,9,23
1,10,26
1,11,25
1,12,28
1,13,27
1,29,14
2,0,17
2,1,18
2,2,15
2,3,16
2,4,21
2,5,22
2,6,19
2,7,20
2,8,25
2,9,26
2,10,23
2,11,24
2,12,29
2,14,27
2,28,13
3,0,18
3,1,17
3,2,16
3,3,15
3,4,22
3,5,21
3,6,20
3,7,19
3,8,26
3,9,25
3,10,24
3,11,23
3,13,29
3,14,28
3,27,12
7,0,19
7,1,20
7,2,21
7,3,22
7,4,15
7,5,16
7,6,17
7,7,18
7,8,27
7,9,28
7,10,29
7,12,23
7,13,24
7,14,25
7,26,11
8,0,20
8,1,19
8,2,22
8,3,21
8,4,16
8,5,15
8,6,18
8,7,17
8,8,28
8,9,27
8,11,29
8,12,24
8,13,23
8,14,26
8,25,10
9,0,21
9,1,22
9,2,19
9,3,20
9,4,17
9,5,18
9,6,15
9,7,16
9,8,29
9,10,27
9,11,28
9,12,25
9,13,26
9,14,23
9,24,9
10,0,22
10,1,21
10,2,20
10,3,19
10,4,18
10,5,17
10,6,16
10,7,15
10,9,29
10,10,28
10,11,27
10,12,26
10,13,25
10,14,24
10,23,8
14,0,23
14,1,24
14,2,25
14,3,26
14,4,27
14,5,28
14,6,29
14,8,15
14,9,16
14,10,17
14,11,18
14,12,19
14,13,20
14,14,21
14,22,7
15,0,24
15,1,23
15,2,26
15,3,25
15,4,28
15,5,27
15,7,29
15,8,16
15,9,15
15,10,18
15,11,17
15,12,20
15,13,19
15,14,22
15,21,6
16,0,25
16,1,26
16,2,23
16,3,24
16,4,29
16,6,27
16,7,28
16,8,17
16,9,18
16,10,15
16,11,16
16,12,21
16,13,22
16,14,19
16,20,5
17,0,26
17,1,25
17,2,24
17,3,23
17,5,29
17,6,28
17,7,27
17,8,18
17,9,17
17,10,16
17,11,15
17,12,22
17,13,21
17,14,20
17,19,4
21,0,27
21,1,28
21,2,29
21,4,23
21,5,24
21,6,25
21,7,26
21,8,19
21,9,20
21,10,21
21,11,22
21,12,15
21,13,16
21,14,17
21,18,3
22,0,28
22,1,27
22,3,29
22,4,24
22,5,23
22,6,26
22,7,25
22,8,20
22,9,19
22,10,22
22,11,21
22,12,16
22,13,15
22,14,18
22,17,2
23,0,29
23,2,27
23,3,28
23,4,25
23,5,26
23,6,23
23,7,24
23,8,21
23,9,22
23,10,19
23,11,20
23,12,17
23,13,18
23,14,15
23,16,1
24,1,29
24,2,28
24,3,27
24,4,26
24,5,25
24,6,24
24,7,23
24,8,22
24,9,21
24,10,20
24,11,19
24,12,18
24,13,17
24,14,16
24,15,0
28,15,1
28,16,0
28,17,3
28,18,2
28,20,6
28,21,5
28,22,8
28,23,7
28,25,11
28,26,10
28,27,13
28,28,12
29,15,2
29,16,3
29,17,0
29,18,1
29,20,7
29,21,8
29,22,5
29,23,6
29,25,12
29,26,13
29,27,10
29,28,11
30,15,3
30,16,2
30,17,1
30,18,0
30,20,8
30,21,7
30,22,6
30,23,5
30,25,13
30,26,12
30,27,11
30,28,10
31,15,4
31,19,0
31,20,9
31,24,5
31,25,14
31,29,10
32,16,4
32,19,1
32,21,9
32,24,6
32,26,14
32,29,11
33,17,4
33,19,2
33,22,9
33,24,7
33,27,14
33,29,12
34,18,4
34,19,3
34,23,9
34,24,8
34,28,14
34,29,13
35,10,13
35,14,12
35,15,5
35,16,6
35,17,7
35,18,8
35,19,9
35,20,0
35,21,1
35,22,2
35,23,3
35,24,4
35,25,27
35,26,29
36,11,13
36,15,6
36,16,5
36,17,8
36,18,7
36,19,10
36,20,1
36,21,0
36,22,3
36,23,2
36,24,12
36,25,4
36,26,9
36,28,27
37,12,13
37,15,7
37,16,8
37,17,5
37,18,6
37,19,11
37,20,2
37,21,3
37,22,0
37,23,1
37,24,10
37,25,9
37,26,4
38,13,11
38,15,8
38,16,7
38,17,6
38,18,5
38,19,12
38,20,3
38,21,2
38,22,1
38,23,0
38,27,4
38,28,26
38,29,25
39,24,11
39,27,9
42,6,8
42,7,5
42,15,9
42,16,10
42,17,11
42,18,12
42,20,4
42,21,13
42,22,14
42,24,0
42,25,1
42,26,2
42,27,3
43,15,10
43,16,9
43,17,12
43,18,11
43,19,5
43,20,13
43,21,4
43,23,14
43,24,1
43,25,0
43,26,3
43,27,2
43,28,6
43,29,7
44,15,11
44,16,12
44,17,9
44,18,10
44,19,6
44,20,14
44,22,4
44,23,13
44,24,2
44,25,3
44,26,0
44,27,1
44,28,5
44,29,8
45,15,12
45,16,11
45,17,10
45,18,9
45,19,7
45,21,14
45,22,13
45,23,4
45,24,3
45,25,2
45,26,1
45,27,0
45,28,8
45,29,5
46,19,8
46,21,20
46,23,22
46,28,7
46,29,6
49,2,0
49,3,4
49,5,9
49,8,1
49,15,13
49,16,14
49,17,19
49,20,10
49,21,11
49,22,12
49,25,6
49,26,7
50,2,7
50,3,0
50,4,9
50,15,14
50,16,13
50,18,19
50,20,11
50,21,10
50,23,12
50,24,17
50,25,5
50,26,6
50,27,8
50,28,1
51,9,1
51,16,18
51,17,13
51,20,12
51,21,19
51,22,10
51,23,11
51,24,15
51,25,7
51,26,5
51,27,6
51,28,0
51,29,2
52,9,4
52,16,24
52,17,14
52,18,13
52,21,12
52,22,11
52,23,10
52,25,8
52,27,5
52,28,2
52,29,0
53,18,14
53,20,24
53,22,15
53,23,19
53,26,8
53,27,7
53,28,3
53,29,1
54,29,3
56,0,3
56,1,5
56,2,14
56,6,12
56,7,11
56,8,4
56,15,18
56,16,17
56,19,13
56,20,25
56,21,27
56,26,23
56,28,9
56,29,22
57,0,10
57,3,7
57,4,14
57,5,1
57,8,12
57,11,2
57,16,23
57,17,22
57,18,15
57,19,20
57,24,13
57,27,26
57,28,21
57,29,9
58,0,11
58,5,10
58,6,1
58,7,13
58,8,3
58,12,2
58,19,14
58,21,16
58,22,27
58,24,18
58,25,15
58,26,20
58,28,4
59,5,11
59,7,6
59,9,0
59,12,3
59,13,1
59,19,23
59,22,21
59,24,14
59,25,16
59,26,15
59,28,17
59,29,4
60,9,8
60,10,6
60,27,24
60,29,18
63,0,13
63,2,8
63,4,5
63,6,1
63,7,3
63,9,11
63,10,14
63,15,28
63,16,22
63,17,20
63,18,24
63,21,25
63,23,29
63,27,19
64,0,14
64,2,13
64,4,8
64,5,1
64,7,10
64,12,11
64,15,29
64,16,24
64,17,26
64,19,20
64,21,18
64,22,28
64,27,25
65,2,14
65,6,4
65,8,5
65,9,1
65,10,3
65,13,0
65,17,24
65,18,29
65,19,16
65,21,27
65,22,15
65,26,25
66,7,14
66,8,6
66,11,1
66,19,17
66,21,16
66,23,18
66,26,15
66,27,28
66,29,20
67,10,6
67,11,2
67,13,7
67,24,23
67,26,22
67,28,25
70,0,3
70,1,4
70,2,9
70,5,6
70,7,8
70,10,11
70,13,14
70,15,16
70,17,20
70,18,21
70,19,25
70,22,26
70,23,29
71,0,9
71,1,12
71,2,13
71,4,7
71,5,3
71,10,8
71,15,27
71,17,21
71,18,23
71,20,19
71,22,16
71,25,24
71,26,28
72,0,11
72,3,9
72,4,1
72,5,2
72,7,14
72,13,10
72,15,28
72,17,29
72,18,27
72,20,22
72,21,24
72,26,16
73,0,12
73,3,13
73,8,5
73,10,1
73,14,4
73,16,15
73,19,18
73,21,29
73,25,28
73,26,27
74,11,8
74,12,9
74,14,7
74,22,29
74,27,17
74,28,25
75,11,12
77,0,1
77,2,9
77,3,4
77,5,8
77,6,7
77,10,11
77,12,14
77,15,21
77,16,19
77,17,18
77,22,24
77,23,20
77,26,28
77,27,25
78,1,2
78,3,7
78,4,5
78,6,0
78,11,10
78,12,9
78,13,8
78,15,26
78,17,23
78,18,27
78,19,16
78,20,21
78,24,22
78,29,25
79,1,11
79,2,0
79,5,4
79,6,3
79,7,8
79,13,9
79,17,27
79,19,28
79,21,15
79,23,16
79,24,29
79,25,18
80,7,6
80,8,3
80,9,0
80,12,1
80,13,4
80,14,5
80,21,17
80,23,15
80,25,20
80,26,19
80,28,18
81,14,11
81,27,20
81,29,26
82,14,13
82,29,28
84,0,1
84,2,3
84,5,9
84,6,4
84,7,10
84,8,14
84,15,21
84,17,28
84,20,16
84,22,26
84,25,19
84,29,24
85,2,7
85,3,6
85,4,1
85,5,11
85,8,0
85,9,10
