day,team1,team2
0,27,20
0,0,5
1,16,28
1,17,23
1,7,0
1,11,12
1,14,9
1,15,19
1,1,8
1,10,26
1,27,24
1,3,13
1,25,29
2,21,22
2,6,4
2,2,18
3,0,3
3,22,23
3,12,1
3,17,8
3,24,26
3,5,7
3,19,16
3,10,14
3,9,13
3,20,25
4,28,6
4,9,2
4,23,21
4,12,5
4,26,27
4,8,11
4,18,19
4,17,7
4,24,15
4,3,4
4,20,29
5,25,22
5,10,1
5,16,18
6,4,28
6,24,23
6,29,27
6,3,9
6,10,11
6,20,26
6,14,7
6,13,15
7,2,0
7,19,21
7,1,12
7,6,5
7,25,17
7,8,16
8,27,3
8,4,20
8,13,22
8,19,23
8,5,1
8,16,9
8,28,11
8,29,26
8,15,14
8,8,18
9,10,6
9,21,17
9,0,7
9,25,24
9,26,29
10,13,20
10,4,22
10,1,2
10,28,12
10,15,10
10,18,16
10,27,14
11,18,6
11,9,21
11,0,11
11,22,19
11,23,17
11,3,26
11,27,29
11,5,25
12,9,20
12,15,1
12,2,5
12,28,8
12,7,10
12,13,24
12,12,14
13,15,2
13,28,0
13,20,21
13,3,27
13,16,11
13,4,17
13,26,19
13,14,29
13,12,25
14,9,22
14,23,1
14,24,8
14,18,7
15,10,3
15,27,2
15,24,0
15,26,21
15,8,5
15,6,11
15,17,19
15,4,15
15,7,14
15,23,13
15,12,29
15,16,25
16,20,28
16,22,17
17,8,3
17,14,28
17,1,22
17,23,2
17,6,12
17,7,9
17,4,19
17,25,26
17,27,10
17,11,15
17,5,13
17,0,18
18,25,6
18,29,21
18,24,9
18,20,15
18,26,16
19,23,28
19,29,22
19,8,2
19,11,21
19,0,12
19,10,5
19,19,27
19,18,17
19,14,16
19,13,4
20,11,20
20,1,23
20,0,10
21,21,28
21,14,2
21,7,5
21,29,17
21,3,19
21,25,8
21,18,24
21,1,15
21,26,13
21,6,4
22,16,20
22,11,23
22,22,0
22,2,12
22,8,9
23,5,27
23,3,24
23,18,15
23,22,13
23,25,4
24,7,28
24,8,6
24,12,23
24,14,0
24,10,9
24,1,17
24,11,19
24,21,18
