day,team1,team2
0,5,14
0,8,23
0,25,15
1,5,6
1,8,15
1,18,23
2,0,15
2,17,26
2,25,18
3,9,6
3,13,14
3,20,26
3,24,18
3,27,23
4,3,6
4,10,26
4,12,25
4,20,14
4,24,23
4,27,15
5,8,25
5,24,6
5,27,12
6,3,14
6,5,12
6,16,18
6,28,26
7,3,14
7,8,18
7,10,15
7,11,12
7,13,26
7,27,25
8,0,23
8,8,12
8,10,14
8,21,15
8,24,26
8,27,25
9,5,18
9,8,12
9,11,15
9,13,6
9,16,25
9,27,23
10,4,12
10,5,14
10,16,6
10,22,23
10,27,18
10,29,26
11,3,6
11,5,15
11,11,8
11,24,18
11,29,14
12,29,6
13,3,23
13,5,25
13,11,26
14,0,8
14,1,15
14,2,6
14,4,25
14,5,23
14,13,14
14,21,27
15,7,12
15,10,6
15,19,23
15,21,26
15,22,18
15,28,14
16,0,12
16,2,11
16,3,15
16,19,18
17,1,26
17,2,11
17,3,12
17,13,18
17,16,25
17,17,27
17,19,14
17,28,15
18,5,6
18,7,8
18,9,27
18,17,11
18,19,23
18,22,12
19,4,6
19,5,26
19,20,25
19,24,8
19,28,27
20,0,25
20,4,14
20,5,11
20,16,8
20,21,18
20,22,15
20,24,26
20,29,23
21,0,18
21,1,11
21,5,12
21,7,25
21,13,6
21,16,23
21,21,15
21,22,8
21,29,26
22,1,12
22,2,14
22,4,18
22,6,27
22,16,23
22,17,8
22,19,25
22,20,15
23,4,23
23,5,8
23,6,14
23,10,25
23,21,27
23,22,26
24,1,12
24,4,26
24,7,27
24,10,14
24,20,15
24,22,18
25,0,27
25,3,11
25,6,14
25,9,12
25,20,26
25,29,25
26,0,8
26,5,11
26,19,15
26,21,18
27,1,0
27,4,11
27,7,23
27,22,5
28,1,18
28,4,8
28,6,11
28,24,15
28,28,27
29,2,12
29,3,5
29,6,15
29,7,26
29,13,23
29,14,0
29,19,8
29,20,27
29,21,25
30,3,5
30,7,11
30,10,18
30,19,26
30,20,23
30,21,0
31,1,25
31,3,18
31,7,15
31,10,11
31,24,0
31,29,8
32,2,5
32,7,18
32,9,12
32,22,25
33,2,5
33,4,12
33,6,26
33,16,0
33,17,27
33,21,23
33,28,11
33,29,15
34,3,26
34,6,12
34,17,23
34,21,8
34,22,25
34,24,27
35,2,18
35,3,0
35,17,15
35,28,26
36,3,12
36,9,0
36,13,27
36,14,18
36,16,15
36,17,26
36,20,11
36,24,23
37,3,27
37,4,0
37,13,12
37,20,8
37,28,25
37,29,23
38,2,26
38,6,23
38,7,22
38,9,5
38,17,18
38,28,25
38,29,27
39,3,7
39,4,15
39,9,8
39,10,22
39,13,5
39,14,26
39,19,11
39,20,27
39,21,23
40,2,22
40,4,5
40,6,12
40,13,11
40,21,25
40,24,7
40,28,8
40,29,15
41,1,8
41,2,25
41,4,7
41,9,11
41,16,18
41,17,0
41,20,22
41,21,12
41,29,5
42,10,11
42,14,12
42,16,27
42,20,25
42,21,22
42,26,15
42,28,0
43,1,11
43,2,3
43,4,8
43,10,27
43,16,12
43,17,7
43,26,23
43,29,18
44,1,5
44,4,27
44,9,8
44,13,0
44,14,23
44,19,3
44,20,18
44,21,22
44,24,25
44,28,12
45,1,0
45,4,7
45,13,8
45,14,5
45,16,15
45,20,23
45,26,22
46,1,23
46,2,12
46,4,22
46,9,3
46,10,21
46,17,5
46,26,25
46,29,7
47,2,8
47,6,5
47,9,18
47,10,7
47,14,3
47,20,0
47,24,27
48,9,21
48,13,25
48,19,18
48,28,15
48,29,11
49,2,0
49,4,5
49,9,25
49,13,3
49,17,23
49,19,15
49,20,21
49,24,22
49,26,18
49,29,27
50,1,8
50,4,21
50,13,3
50,14,25
50,16,11
50,24,5
50,28,18
50,29,12
51,2,7
51,6,0
51,10,8
51,17,22
51,20,12
51,28,21
51,29,18
52,1,7
52,2,15
52,4,11
52,9,0
52,14,27
52,16,21
52,17,12
52,19,25
52,20,18
53,1,22
53,4,0
53,9,23
53,10,7
53,17,15
53,24,11
53,29,25
54,6,7
54,10,3
54,13,8
54,14,11
54,16,27
54,19,12
54,20,5
54,24,22
54,28,23
55,1,27
55,2,23
55,6,3
55,14,8
55,16,5
56,2,3
56,6,18
56,10,12
56,14,15
56,16,7
56,17,25
56,19,27
56,20,21
56,26,0
57,2,8
57,4,1
57,6,22
57,13,0
57,14,11
57,24,15
57,28,21
58,2,7
58,9,15
58,16,21
58,24,3
58,26,12
58,28,18
58,29,0
59,4,1
59,6,11
59,10,12
59,19,22
59,20,9
59,24,25
60,10,8
60,13,15
60,14,12
60,16,9
60,17,18
60,28,7
60,29,22
61,2,0
61,10,3
61,13,11
61,14,5
61,19,21
61,20,4
61,26,25
61,29,1
62,6,3
62,11,7
62,13,5
62,16,22
62,17,25
62,19,20
62,24,9
62,26,18
62,28,1
62,29,4
63,2,9
63,6,0
63,10,23
63,11,25
63,13,12
63,14,20
63,16,4
63,24,21
63,26,7
63,29,3
64,2,21
64,13,7
64,17,3
64,24,12
64,28,4
64,29,16
65,10,5
65,11,12
65,13,7
65,17,9
65,19,21
65,24,16
65,26,22
65,28,23
66,6,25
66,10,1
66,11,23
66,14,8
66,26,15
66,28,22
66,29,20
67,2,1
67,6,8
67,10,9
67,14,22
67,19,16
67,28,20
68,3,25
68,6,5
68,13,22
68,17,20
68,19,0
68,24,1
69,2,4
69,3,0
69,11,18
69,14,7
69,17,1
69,19,9
69,26,27
69,29,21
70,2,1
70,11,22
70,14,0
70,15,18
70,19,4
70,24,21
70,29,9
71,2,20
