1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')","('Los Angeles Lakers', 1610612747, 'LAL')"
"('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')"
"('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')"
"('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Los Angeles Clippers', 1610612746, 'LAC')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')"
"('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')"
"('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('New Orleans/Oklahoma City Hornets', 1610612740, 'NOK')","('New Orleans/Oklahoma City Hornets', 1610612740, 'NOK')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('Charlotte Hornets', 1610612766, 'CHA')","('Charlotte Hornets', 1610612766, 'CHA')","('Charlotte Hornets', 1610612766, 'CHA')","('Charlotte Hornets', 1610612766, 'CHA')"
"('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Boston Celtics', 1610612738, 'BOS')","('Charlotte Hornets', 1610612766, 'CHA')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')","('Boston Celtics', 1610612738, 'BOS')"
"('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Boston Celtics', 1610612738, 'BOS')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')"
"('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Miami Heat', 1610612748, 'MIA')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Denver Nuggets', 1610612743, 'DEN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')"
"('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Atlanta Hawks', 1610612737, 'ATL')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Denver Nuggets', 1610612743, 'DEN')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Oklahoma City Thunder', 1610612760, 'OKC')"
