PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
445,Wesley,Person,Wesley Person,"Person, Wesley",W. Person,wesley-person,1971-03-28T00:00:00,Auburn,USA,Auburn/USA,6-6,200,11,10,Guard-Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,wesley_person,1994,2004,N,Y,Y,1994,1,23
198,Danny,Ferry,Danny Ferry,"Ferry, Danny",D. Ferry,danny-ferry,1966-10-17T00:00:00,Duke,USA,Duke ''89/USA,6-10,235,13,35,Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,danny_ferry,1990,2002,N,Y,Y,1989,1,2
980,Zydrunas,Ilgauskas,Zydrunas Ilgauskas,"Ilgauskas, Zydrunas",Z. Ilgauskas,zydrunas-ilgauskas,1975-06-05T00:00:00,,Lithuania,Lithuania,7-3,260,13,11,Center,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,zydrunas_ilgauskas,1997,2010,N,Y,Y,1996,1,20
1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,1974-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-5,195,11,1,Guard,Inactive,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997,2007,N,Y,Y,1997,1,13
682,Bob,Sura,Bob Sura,"Sura, Bob",B. Sura,bob-sura,1973-03-25T00:00:00,Florida State,USA,Florida State/USA,6-5,200,10,3,Guard,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,bob_sura,1995,2006,N,Y,Y,1995,1,17
348,Mitchell,Butler,Mitchell Butler,"Butler, Mitchell",M. Butler,mitchell-butler,1970-12-15T00:00:00,UCLA,USA,UCLA ''93/USA,6-5,210,8,32,Guard,Inactive,1610612764,Wizards,WAS,wizards,Washington,mitchell_butler,1993,2003,N,Y,Y,Undrafted,Undrafted,Undrafted
1510,Brevin,Knight,Brevin Knight,"Knight, Brevin",B. Knight,brevin-knight,1975-11-08T00:00:00,Stanford,USA,Stanford/USA,5-10,166,12,2,Guard,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,brevin_knight,1997,2008,N,Y,Y,1997,1,16
1035,Shawnelle,Scott,Shawnelle Scott,"Scott, Shawnelle",S. Scott,shawnelle-scott,1972-06-16T00:00:00,St. John's (NY),USA,St. John's (N.Y.)/USA,,,3,,,Inactive,0,,,,,shawnelle_scott,1996,2001,N,Y,Y,1994,2,43
1538,Cedric,Henderson,Cedric Henderson,"Henderson, Cedric",C. Henderson,cedric-henderson,1975-03-11T00:00:00,Memphis,USA,Memphis ''97/USA,6-7,225,5,45,Forward,Inactive,1610612739,Cavaliers,CLE,cavaliers,Cleveland,cedric_henderson,1997,2002,N,Y,Y,1997,2,44
1080,Henry,James,Henry James,"James, Henry",H. James,henry-james,1965-07-29T00:00:00,St. Mary's (TX),USA,South Plains Coll. TX (J.C.); St. Mary's (Tex.)/US,,,6,,,Inactive,0,,,,,henry_james,1990,1997,N,Y,Y,Undrafted,Undrafted,Undrafted
431,Shawn,Kemp,Shawn Kemp,"Kemp, Shawn",S. Kemp,shawn-kemp,1969-11-26T00:00:00,Trinity Valley Community College,USA,Concord HS (IN) ''87/USA,6-10,280,14,40,Forward,Inactive,1610612760,SuperSonics,SEA,thunder,Seattle,shawn_kemp,1989,2002,N,Y,Y,1989,1,17
958,Vitaly,Potapenko,Vitaly Potapenko,"Potapenko, Vitaly",V. Potapenko,vitaly-potapenko,1975-03-21T00:00:00,Wright State,Ukraine,Wright State/Ukraine,6-10,285,11,20,Center-Forward,Inactive,1610612738,Celtics,BOS,celtics,Boston,vitaly_potapenko,1996,2006,N,Y,Y,1996,1,12
53,Mario,Elie,Mario Elie,"Elie, Mario",M. Elie,mario-elie,1963-11-26T00:00:00,American International,USA,American International/USA,6-5,225,10,17,Guard-Forward,Inactive,1610612745,Rockets,HOU,rockets,Houston,mario_elie,1990,2000,N,Y,Y,1985,7,160
788,Kevin,Willis,Kevin Willis,"Willis, Kevin",K. Willis,kevin-willis,1962-09-06T00:00:00,Michigan State,USA,Michigan State/USA,7-0,245,21,45,Center-Forward,Inactive,1610612737,Hawks,ATL,hawks,Atlanta,kevin_willis,1984,2006,N,Y,Y,1984,1,11
165,Hakeem,Olajuwon,Hakeem Olajuwon,"Olajuwon, Hakeem",H. Olajuwon,hakeem-olajuwon,1963-01-21T00:00:00,Houston,Nigeria,Houston ''84/Nigeria,7-0,255,18,34,Center,Inactive,1610612745,Rockets,HOU,rockets,Houston,hakeem_olajuwon,1984,2002,N,Y,Y,1984,1,1
17,Clyde,Drexler,Clyde Drexler,"Drexler, Clyde",C. Drexler,clyde-drexler,1962-06-22T00:00:00,Houston,USA,Houston/USA,6-7,222,14,22,Guard,Inactive,1610612757,Trail Blazers,POR,blazers,Portland,clyde_drexler,1983,1997,N,Y,Y,1983,1,14
1074,Matt,Maloney,Matt Maloney,"Maloney, Matt",M. Maloney,matt-maloney,1971-12-06T00:00:00,Pennsylvania,USA,Pennsylvania/USA,,,5,,,Inactive,0,,,,,matt_maloney,1996,2002,N,Y,Y,Undrafted,Undrafted,Undrafted
1518,Rodrick,Rhodes,Rodrick Rhodes,"Rhodes, Rodrick",R. Rhodes,rodrick-rhodes,1973-09-24T00:00:00,Southern California,USA,Kentucky; USC/USA,,,2,,,Inactive,0,,,,,rodrick_rhodes,1997,1999,N,Y,Y,1997,1,24
787,Charles,Barkley,Charles Barkley,"Barkley, Charles",C. Barkley,charles-barkley,1963-02-20T00:00:00,Auburn,USA,Auburn/USA,6-6,252,15,34,Forward,Inactive,1610612755,76ers,PHI,sixers,Philadelphia,charles_barkley,1984,1999,N,Y,Y,1984,1,5
672,Matt,Bullard,Matt Bullard,"Bullard, Matt",M. Bullard,matt-bullard,1967-06-05T00:00:00,Iowa,USA,Iowa ''90/USA,6-10,229,11,50,Forward,Inactive,1610612745,Rockets,HOU,rockets,Houston,matt_bullard,1990,2002,N,Y,Y,Undrafted,Undrafted,Undrafted
85,Brent,Price,Brent Price,"Price, Brent",B. Price,brent-price,1968-12-09T00:00:00,Oklahoma,USA,Oklahoma ''92/USA,6-1,185,9,25,Guard,Inactive,1610612764,Bullets,WAS,wizards,Washington,brent_price,1992,2002,N,Y,Y,1992,2,32
698,Eddie,Johnson,Eddie Johnson,"Johnson, Eddie",E. Johnson,eddie-johnson,1959-05-01T00:00:00,Illinois,USA,Illinois/USA,,,16,,,Inactive,0,,,,,eddie_johnson,1981,1998,N,Y,Y,1981,2,29
1023,Emanual,Davis,Emanual Davis,"Davis, Emanual",E. Davis,emanual-davis,1968-08-27T00:00:00,Delaware State,USA,Delaware State ''91/USA,6-5,195,6,15,Guard,Inactive,1610612760,SuperSonics,SEA,thunder,Seattle,emanual_davis,1996,2002,N,Y,Y,Undrafted,Undrafted,Undrafted
970,Othella,Harrington,Othella Harrington,"Harrington, Othella",O. Harrington,othella-harrington,1974-01-31T00:00:00,Georgetown,USA,Georgetown/USA,6-9,235,12,24,Forward-Center,Inactive,1610612752,Knicks,NYK,knicks,New York,othella_harrington,1996,2007,Y,Y,Y,1996,2,30
904,Chris,Mullin,Chris Mullin,"Mullin, Chris",C. Mullin,chris-mullin,1963-07-30T00:00:00,St. John's (NY),USA,St. John's (N.Y.)/USA,,,15,17,,Inactive,0,,,,,chris_mullin,1985,2000,N,Y,Y,1985,1,7
905,Dale,Davis,Dale Davis,"Davis, Dale",D. Davis,dale-davis,1969-03-25T00:00:00,Clemson,USA,Clemson/USA,6-11,252,16,34,Center-Forward,Inactive,1610612754,Pacers,IND,pacers,Indiana,dale_davis,1991,2006,N,Y,Y,1991,1,13
22,Rik,Smits,Rik Smits,"Smits, Rik",R. Smits,rik-smits,1966-08-23T00:00:00,Marist,USA,Marist/USA,7-4,265,11,45,Center,Inactive,1610612754,Pacers,IND,pacers,Indiana,rik_smits,1988,1999,N,Y,Y,1988,1,2
397,Reggie,Miller,Reggie Miller,"Miller, Reggie",R. Miller,reggie-miller,1965-08-24T00:00:00,California-Los Angeles,USA,UCLA/USA,6-7,195,18,31,Guard,Inactive,1610612754,Pacers,IND,pacers,Indiana,reggie_miller,1987,2004,N,Y,Y,1987,1,11
349,Mark,Jackson,Mark Jackson,"Jackson, Mark",M. Jackson,mark-jackson,1965-04-01T00:00:00,St. John's (NY),USA,St. John''s (N.Y.) '87/USA,6-3,195,17,31,Guard,Inactive,1610612752,Knicks,NYK,knicks,New York,mark_jackson,1987,2003,N,Y,Y,1987,1,18
213,Antonio,Davis,Antonio Davis,"Davis, Antonio",A. Davis,antonio-davis,1968-10-31T00:00:00,Texas-El Paso,USA,Texas-El Paso/USA,,,12,,,Inactive,0,,,,,antonio_davis,1993,2005,N,Y,Y,1990,2,45
697,Fred,Hoiberg,Fred Hoiberg,"Hoiberg, Fred",F. Hoiberg,fred-hoiberg,1972-10-15T00:00:00,Iowa State,USA,Iowa State '95/USA,6-5,210,10,32,Guard,Inactive,1610612741,Bulls,CHI,bulls,Chicago,fred_hoiberg,1995,2004,N,Y,Y,1995,2,52
696,Travis,Best,Travis Best,"Best, Travis",T. Best,travis-best,1972-07-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,5-11,182,10,6,Guard,Inactive,1610612754,Pacers,IND,pacers,Indiana,travis_best,1995,2004,N,Y,Y,1995,1,23
770,Mark,West,Mark West,"West, Mark",M. West,mark-west,1960-11-05T00:00:00,Old Dominion,USA,Old Dominion/USA,,,16,,,Inactive,0,,,,,mark_west,1983,1999,N,Y,Y,1983,2,30
147,Jalen,Rose,Jalen Rose,"Rose, Jalen",J. Rose,jalen-rose,1973-01-30T00:00:00,Michigan,USA,Michigan/USA,6-8,215,13,8,Guard-Forward,Inactive,1610612754,Pacers,IND,pacers,Indiana,jalen_rose,1994,2006,N,Y,Y,1994,1,13
1564,Etdrick,Bohannon,Etdrick Bohannon,"Bohannon, Etdrick",E. Bohannon,etdrick-bohannon,1973-05-29T00:00:00,Auburn-Montgomery,USA,Arizona; Tennessee; Auburn-Montgomery/USA,,,3,,,Inactive,0,,,,,etdrick_bohannon,1997,2000,N,Y,Y,Undrafted,Undrafted,Undrafted
998,Mark,Pope,Mark Pope,"Pope, Mark",M. Pope,mark-pope,1972-09-11T00:00:00,Kentucky,USA,Kentucky/USA,6-10,235,6,41,Center-Forward,Inactive,1610612749,Bucks,MIL,bucks,Milwaukee,mark_pope,1997,2004,N,Y,Y,1996,2,52
383,Kendall,Gill,Kendall Gill,"Gill, Kendall",K. Gill,kendall-gill,1968-05-25T00:00:00,Illinois,USA,Illinois '90/USA,,,14,,,Inactive,0,,,,,kendall_gill,1990,2004,N,Y,Y,1990,1,5
423,Chris,Gatling,Chris Gatling,"Gatling, Chris",C. Gatling,chris-gatling,1967-09-03T00:00:00,Old Dominion,USA,Pittsburgh; Old Dominion/USA,,,10,,,Inactive,0,,,,,chris_gatling,1991,2001,N,Y,Y,1991,1,16
420,Jayson,Williams,Jayson Williams,"Williams, Jayson",J. Williams,jayson-williams,1968-02-22T00:00:00,St. John's (NY),USA,St. John's (N.Y.)/USA,,,8,,,Inactive,0,,,,,jayson_williams,1990,1998,N,Y,Y,1990,1,21
236,Kevin,Edwards,Kevin Edwards,"Edwards, Kevin",K. Edwards,kevin-edwards,1965-10-30T00:00:00,DePaul,USA,Lakeland CC OH; DePaul/USA,6-3,210,10,21,Guard,Inactive,1610612748,Heat,MIA,heat,Miami,kevin_edwards,1988,2000,N,Y,Y,1988,1,20
208,Sam,Cassell,Sam Cassell,"Cassell, Sam",S. Cassell,sam-cassell,1969-11-18T00:00:00,Florida State,USA,Florida State/USA,6-3,185,15,28,Guard,Inactive,1610612749,Bucks,MIL,bucks,Milwaukee,sam_cassell,1993,2007,N,Y,Y,1993,1,24
446,Lucious,Harris,Lucious Harris,"Harris, Lucious",L. Harris,lucious-harris,1970-12-18T00:00:00,Long Beach State,USA,Long Beach State '93/USA,,,11,,,Inactive,0,,,,,lucious_harris,1993,2004,N,Y,Y,1993,2,28
128,David,Benoit,David Benoit,"Benoit, David",D. Benoit,david-benoit,1968-05-09T00:00:00,Alabama,USA,Tyler JC TX; Alabama/USA,6-8,220,6,21,Forward,Inactive,1610612762,Jazz,UTA,jazz,Utah,david_benoit,1991,2000,N,Y,Y,Undrafted,Undrafted,Undrafted
212,Yinka,Dare,Yinka Dare,"Dare, Yinka",Y. Dare,yinka-dare,1972-10-10T00:00:00,George Washington,USA,George Washington/USA,,,3,,,Inactive,0,,,,,yinka_dare,1994,1997,N,Y,Y,1994,1,14
428,Sherman,Douglas,Sherman Douglas,"Douglas, Sherman",S. Douglas,sherman-douglas,1966-09-15T00:00:00,Syracuse,USA,Syracuse/USA,,,11,,,Inactive,0,,,,,sherman_douglas,1989,2000,N,Y,Y,1989,2,28
262,Michael,Cage,Michael Cage,"Cage, Michael",M. Cage,michael-cage,1962-01-28T00:00:00,San Diego State,USA,San Diego State/USA,,,14,,,Inactive,0,,,,,michael_cage,1984,1999,N,Y,Y,1984,1,14
954,Kerry,Kittles,Kerry Kittles,"Kittles, Kerry",K. Kittles,kerry-kittles,1974-06-12T00:00:00,Villanova,USA,Villanova '96/USA,,,8,,,Inactive,0,,,,,kerry_kittles,1996,2004,N,Y,Y,1996,1,8
1495,Tim,Duncan,Tim Duncan,"Duncan, Tim",T. Duncan,tim-duncan,1976-04-25T00:00:00,Wake Forest,US Virgin Islands,Wake Forest/US Virgin Islands,6-11,250,19,21,Center-Forward,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,tim_duncan,1997,2015,N,Y,Y,1997,1,1
251,Sean,Elliott,Sean Elliott,"Elliott, Sean",S. Elliott,sean-elliott,1968-02-02T00:00:00,Arizona,USA,Arizona/USA,6-8,220,11,32,Forward,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,sean_elliott,1989,2000,N,Y,Y,1989,1,3
764,David,Robinson,David Robinson,"Robinson, David",D. Robinson,david-robinson,1965-08-06T00:00:00,Navy,USA,Navy ''87/USA,7-1,250,13,50,Center,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,david_robinson,1989,2002,N,Y,Y,1987,1,1
422,Avery,Johnson,Avery Johnson,"Johnson, Avery",A. Johnson,avery-johnson,1965-03-25T00:00:00,Southern,USA,Southern University '88/USA,5-11,185,16,6,Guard,Inactive,1610612759,Spurs,SAS,spurs,San Antonio,avery_johnson,1988,2003,N,Y,Y,Undrafted,Undrafted,Undrafted
