week,team1,team2
0,0,5
0,0,6
0,0,7
0,1,6
0,1,17
0,1,25
0,2,10
0,2,13
0,2,14
0,3,13
0,3,14
0,3,29
0,4,6
0,4,7
0,4,26
0,8,20
0,8,26
0,8,29
0,9,10
0,9,24
0,9,25
0,11,10
0,11,17
0,11,27
0,11,28
0,12,14
0,12,22
0,12,29
0,15,5
0,15,28
0,15,29
0,16,7
0,16,26
0,16,28
0,18,20
0,18,24
0,18,27
0,19,5
0,19,22
0,19,27
0,21,14
0,21,17
0,21,24
0,23,13
0,23,20
0,23,22
0,23,25
1,1,14
1,1,18
1,1,20
1,2,0
1,2,5
1,2,19
1,2,26
1,3,6
1,3,7
1,3,11
1,4,0
1,4,5
1,4,21
1,4,27
1,9,7
1,9,26
1,9,27
1,10,6
1,10,7
1,10,24
1,10,26
1,12,8
1,12,11
1,12,14
1,13,7
1,13,11
1,13,21
1,15,14
1,15,20
1,15,24
1,16,8
1,16,21
1,16,22
1,17,6
1,17,20
1,17,22
1,23,0
1,23,5
1,23,27
1,25,5
1,25,18
1,25,19
1,28,18
1,28,19
1,28,22
1,29,8
1,29,18
1,29,24
2,1,0
2,1,12
2,1,16
2,2,20
2,2,21
2,2,24
2,2,27
2,3,10
2,3,13
2,3,15
2,4,13
2,4,14
2,4,17
2,5,15
2,5,20
2,5,23
2,6,0
2,6,10
2,6,13
2,7,10
2,7,14
2,7,20
2,11,0
2,11,8
2,11,12
2,11,29
2,18,8
2,18,21
2,18,23
2,18,27
2,19,15
2,19,17
2,19,29
2,22,12
2,22,21
2,22,24
2,22,29
2,25,9
2,25,23
2,25,24
2,26,9
2,26,14
2,26,16
2,26,17
2,28,8
2,28,9
2,28,16
2,28,27
3,5,0
3,5,11
3,5,17
3,6,12
3,6,14
3,6,26
3,7,1
3,7,12
3,7,17
3,8,3
3,8,11
3,8,13
3,9,1
3,9,2
3,9,3
3,10,2
3,10,3
3,10,4
3,16,0
3,16,12
3,16,17
3,16,27
3,19,4
3,19,13
3,19,18
3,20,11
3,20,15
3,20,26
3,21,1
3,21,18
3,21,27
3,22,14
3,22,17
3,22,28
3,23,15
3,23,26
3,23,27
3,24,2
3,24,15
3,24,18
3,25,0
3,25,13
3,25,28
3,29,4
3,29,14
3,29,28
4,6,1
4,6,4
4,6,27
4,7,2
4,7,3
4,7,4
4,8,0
4,8,4
4,8,5
4,9,0
4,9,2
4,9,15
4,12,5
4,12,10
4,12,26
4,13,1
4,13,2
4,13,3
4,14,1
4,14,5
4,14,15
4,14,27
4,18,11
4,18,16
4,18,19
4,21,19
4,21,26
4,21,27
4,22,19
4,22,20
4,22,26
4,22,27
4,23,11
4,23,16
4,23,17
4,24,10
4,24,17
4,24,20
4,25,16
4,25,17
4,25,20
4,28,0
4,28,3
4,28,15
4,29,10
4,29,11
4,29,20
5,3,0
5,3,2
5,3,20
5,8,1
5,8,4
5,8,6
5,8,22
5,9,4
5,9,5
5,9,16
5,9,17
5,10,0
5,10,16
5,10,20
5,11,6
5,11,7
5,11,18
5,12,1
5,12,2
5,12,4
5,12,5
5,13,0
5,13,17
5,13,19
5,14,5
5,14,17
5,14,18
5,15,7
5,15,19
5,15,25
5,15,29
5,23,21
5,23,22
5,23,29
5,24,16
5,24,18
5,24,19
5,24,29
5,26,1
5,26,2
5,26,22
5,26,25
5,27,6
5,27,7
5,27,21
5,28,20
5,28,21
5,28,25
6,4,1
6,4,2
6,4,11
6,6,7
6,6,17
6,6,25
6,8,2
6,8,7
6,8,21
6,9,0
6,9,3
6,9,23
6,10,1
6,10,5
6,10,15
6,12,17
6,12,20
6,12,25
6,13,5
6,13,11
6,13,25
6,14,0
6,14,20
6,14,23
6,16,3
6,16,15
6,16,21
6,18,7
6,18,24
6,18,25
6,19,3
6,19,17
6,19,20
6,22,0
6,22,5
6,22,24
6,26,15
6,26,23
6,26,24
6,27,0
6,27,11
6,27,24
6,28,2
6,28,21
6,28,23
6,29,1
6,29,2
6,29,15
7,0,2
7,0,3
7,0,6
7,0,23
7,5,3
7,5,6
7,5,13
7,7,3
7,7,6
7,7,21
7,8,2
7,8,9
7,8,15
7,8,17
7,10,3
7,10,9
7,10,21
7,11,2
7,11,4
7,11,12
7,14,9
7,14,12
7,14,13
7,18,1
7,18,16
7,18,17
7,19,16
7,19,23
7,19,28
7,19,29
7,20,1
7,20,4
7,20,16
7,22,17
7,22,23
7,22,29
7,24,1
7,24,12
7,24,15
7,25,15
7,25,21
7,25,28
7,26,4
7,26,21
7,26,28
7,27,13
7,27,28
7,27,29
8,0,10
8,0,15
8,0,19
8,1,7
8,1,15
8,1,29
8,2,3
8,2,6
8,2,29
8,5,4
8,5,7
8,5,9
8,11,8
8,11,9
8,11,15
8,12,16
8,12,24
8,12,27
8,13,4
8,13,8
8,13,16
8,14,3
8,14,8
8,14,16
8,17,10
8,17,19
8,17,28
8,18,3
8,18,20
8,18,29
8,21,9
8,21,20
8,21,28
8,22,4
8,22,19
8,22,27
8,23,6
8,23,20
8,23,24
8,23,28
8,25,7
8,25,8
8,25,27
8,26,6
8,26,10
8,26,24
9,0,4
9,0,9
9,0,18
9,1,4
9,1,8
9,1,23
9,2,4
9,2,25
9,2,28
9,3,12
9,3,16
9,3,25
9,6,8
9,6,20
9,6,21
9,7,5
9,7,9
9,7,11
9,7,18
9,10,11
9,10,17
9,10,23
9,13,4
9,13,5
9,13,12
9,14,8
9,14,12
9,14,25
9,19,15
9,19,21
9,19,28
9,22,9
9,22,15
9,22,20
9,24,11
