day,team1,team2
0,0,1
0,2,6
0,3,12
0,5,9
0,7,13
0,14,4
0,17,8
0,18,20
0,19,24
0,21,25
0,22,23
0,28,16
1,0,11
1,4,1
1,10,3
1,12,6
1,15,21
1,19,24
1,22,25
1,26,20
1,27,17
2,4,6
2,5,9
2,7,2
2,11,1
2,12,3
2,14,17
2,15,20
2,18,29
2,19,26
2,21,27
2,22,25
3,0,1
3,8,14
3,9,5
3,10,3
3,11,4
3,12,6
3,18,26
3,23,16
3,24,25
4,7,2
4,9,11
4,13,8
4,27,23
4,28,17
5,5,10
5,15,22
5,21,26
5,27,20
6,0,14
6,7,10
6,8,13
6,24,18
6,28,15
6,29,19
7,1,5
7,3,8
7,9,0
7,10,7
7,11,2
7,12,6
7,14,4
7,15,23
7,16,24
7,17,26
7,18,29
7,20,27
7,22,19
8,3,9
8,5,13
8,10,7
8,11,1
8,12,6
8,14,4
8,15,21
8,16,8
8,17,26
8,19,29
8,23,18
9,0,14
9,1,11
9,3,10
9,5,13
9,8,12
9,18,28
9,19,21
9,20,26
9,22,27
9,25,24
10,2,9
10,7,0
10,11,12
10,13,3
10,17,20
10,18,14
10,19,27
10,21,22
10,26,15
10,28,25
11,10,8
11,13,6
11,23,24
11,27,29
12,15,25
12,29,21
13,1,5
13,17,23
13,28,20
14,0,5
14,3,7
14,10,9
14,11,27
14,12,4
14,13,6
14,15,20
14,16,24
14,17,23
14,22,25
14,26,21
14,28,19
15,0,5
15,4,14
15,7,2
15,8,12
15,10,3
15,13,1
15,15,21
15,19,22
15,20,28
16,0,5
16,6,10
16,7,2
16,11,9
16,12,1
16,14,3
16,15,22
16,18,29
16,19,21
16,24,17
16,26,23
17,2,8
17,6,4
17,9,13
17,10,7
17,12,1
17,16,23
17,17,24
17,20,26
17,22,27
18,2,3
18,4,13
18,11,8
18,20,19
18,23,16
18,26,18
19,18,29
20,0,5
20,15,21
20,25,17
21,2,7
21,5,1
21,6,4
21,8,14
21,9,0
21,10,13
21,18,27
21,19,26
21,20,11
21,21,16
21,24,23
21,28,15
21,29,17
22,1,5
22,4,12
22,6,0
22,7,8
22,10,9
22,11,14
22,13,3
22,19,28
22,23,15
22,24,21
22,25,16
22,26,18
22,29,20
